,concept,pages,level
597,"Hermite, Charles",464,1
598,hermitian matrix,464,1
599,higher-dimensional geometry,35,1
600,Hilbert spaces,417,1
601,"Hilbert, David",417,1
602,hit,384,1
603,homogeneous coordinates,260,1
604,homogeneous equations associated homogeneous system,53,1
605,"homogeneous equations associated homogeneous system, basic solutions",24,2
606,"homogeneous equations associated homogeneous system, deﬁned",20,2
607,"homogeneous equations associated homogeneous system, general solution",22,2
608,"homogeneous equations associated homogeneous system, linear combinations",21,2
609,"homogeneous equations associated homogeneous system, nontrivial solution","20, 173",2
610,"homogeneous equations associated homogeneous system, trivial solution",20,2
611,homogeneous system,24,1
612,Hooke’s law,371,1
613,Householder matrices,444,1
614,hyperbola,491,1
615,hyperplanes,"3, 575",1
616,hypotenuse,612,1
617,hypothesis,611,1
618,idempotents,"79, 534",1
619,identity matrix,"52, 56, 123",1
620,identity operator,376,1
621,identity transformation,"60, 116",1
622,"image, of linear transformations","59, 381, 382",2
623,"image, of the parallelogram",255,2
624,image space,"264, 445",1
625,imaginary axis,600,1
626,imaginary parts,"403, 597",1
627,imaginary unit,597,1
628,implication,611,1
629,implies,87,1
630,inconsistent system,1,1
631,independence,"271, 345",1
632,independence test,272,1
633,independent,"271, 345, 354",1
634,independent lemma,354,1
635,indeterminate,"332, 623",1
636,index,494,1
637,"induction, cofactor expansion theorem",205,2
638,determination of induction,146,2
639,mathematical induction,"105, 618",2
640,"induction, on path of length r",76,2
641,induction hypothesis,618,1
642,inﬁnite dimensional,355,1
643,initial condition,199,1
644,initial state vector,137,1
645,"inner product, and norms",541,2
646,coordinate isomorphism,395,1
647,deﬁned,537,1
648,euclidean inner product,537,1
649,positive deﬁnite n × n matrix,539,1
650,properties of,539,1
651,inner product space deﬁned,537,1
652,"inner product space deﬁned, distance",541,2
653,use of inner product space deﬁned,540,2
654,"inner product space deﬁned, Fourier approximation",577,2
655,"inner product space deﬁned, isometries",564,2
656,"inner product space deﬁned, norms",541,2
657,"inner product space deﬁned, orthogonal diagonalization",557,2
658,"inner product space deﬁned, orthogonal sets of vectors",547,2
659,"inner product space deﬁned, unit vector",541,2
660,input-output economic models,128,1
661,input-output matrix,130,1
662,integers,"473, 611",1
663,integers modulo,473,1
664,integration,377,1
665,interpolating polynomial,166,1
666,intersection,"270, 360",1
667,interval,332,1
668,intrinsic descriptions,211,1
669,invariance theorem,276,1
670,invariant subspaces,522,1
671,invariants,176,1
672,inverse theorem,87,1
673,"inverses, adjugate",160,2
674,"inverses, and elementary matrices",96,2
675,"inverses, and linear systems",82,2
676,"inverses, and zero matrices",81,2
677,"inverses, cancellation laws",85,2
678,"inverses, complex number",598,2
679,"inverses, Cramer’s Rule","158, 164",2
680,"inverses, deﬁned",80,2
681,"inverses, determinants","145, 158",2
682,"inverses, elementary row operations","7, 96",2
683,"inverses, ﬁnite ﬁelds",474,2
684,"inverses, generalized inverse","312, 322",2
685,"inverses, inverse theorem",87,2
686,"inverses, inversion algorithm",83,2
687,linear transformation,"90, 398",1
688,matrix transformations,90,1
689,Moore-Penrose inverse,322,1
690,nonzero matrix,81,1
691,properties of inverses,85,1
692,application to,"83, 158",1
693,inversion algorithm,83,1
694,invertibility condition,158,1
695,invertible matrix “mixed” cancellation,85,1
696,deﬁned,80,1
697,determinants,145,1
698,left cancelled,85,1
699,LU-factorization,125,1
700,orthogonal matrices,439,1
701,product of elementary matrix,97,1
702,right cancelled,85,1
703,involutions,531,1
704,irreducible,606,1
705,isometries,"251, 564, 565",1
706,isomorphic,392,1
707,isomorphism,"392, 508, 566",1
708,Jacobi identity,249,1
709,Jordan blocks,592,1
710,Jordan canonical form,591,1
711,Jordan canonical matrices,583,1
712,"Jordan, Camille",594,1
713,junction rule,"27, 30",1
714,juvenile survival rate,171,1
715,kernel,382,1
716,kernel lemma,404,1
717,Kirchhoff’s Laws,30,1
718,Lagrange identity,245,1
719,Lagrange interpolation expansion,"366, 549",1
720,Lagrange polynomials,"365, 548",1
721,"Lagrange, Joseph Louis",245,1
722,"Lancaster, P.",130,1
723,"Laplace, Pierre Simon de",148,1
724,law of cosines,"227, 546",1
725,law of exponents,602,1
726,law of sines,250,1
727,leading 1,10,1
728,leading coefﬁcient,"332, 623",1
729,leading column,120,1
730,leading variables,14,1
731,least squares approximating line,314,1
732,least squares approximating polynomial,317,1
733,least squares approximation,313,1
734,least squares best approximation,319,1
735,left cancelled invertible matrix,85,1
736,Legendre polynomials,550,1
737,"Legendre, A.M.",550,1
738,Leibnitz,145,1
739,lemma,96,1
740,"length, geometric vector",212,2
741,"length, linear recurrence",406,2
742,"length, linear recurrence relation",193,2
743,"length, norm, where dot product is used",463,2
744,"length, norm, where dot product used",541,2
745,path of length,75,2
746,"length, recurrence",406,2
747,"length, vector","210, 282, 463",2
748,"Leontief, Wassily",128,1
749,ﬁxed line,569,2
750,"line, in space",218,2
751,least squares approximating line,314,2
752,parametric equations of a line,219,2
753,perpendicular lines,226,2
754,"line, point-slope formula",221,2
755,shortest distance between nonparallel lines,238,2
756,"straight, pair of line",491,2
757,"line, through the origin",264,2
758,vector equation of a line,218,2
759,linear codes,479,1
760,"linear combinations, and linear transformations",104,2
761,"linear combinations, deﬁned","21, 104",2
762,"linear combinations, eigenvectors",442,2
763,"linear combinations, homogeneous equations","21, 63",2
764,"linear combinations, of columns of coefﬁcient matrix",49,2
765,"linear combinations, of orthogonal basis",288,2
766,neous system,24,1
767,spanning sets,"266, 341",1
768,trivial,"271, 345",1
769,unique,271,1
770,vanishes,271,1
771,vectors,341,1
772,linear discrete dynamical system,172,1
773,linear dynamical system,"172, 182",1
774,"linear equation, conic graph",21,2
775,"linear equation, constant term",1,2
776,"linear equation, Cramer’s Rule",163,2
777,"linear equation, deﬁned",1,2
778,"linear equation, vs. linear inequalities",17,2
779,"linear independence, dependent","273, 345, 358",2
780,"linear independence, geometric description",274,2
781,"linear independence, independent","271, 345, 354",2
782,"linear independence, orthogonal sets","287, 548",2
783,"linear independence, properties",347,2
784,"linear independence, set of vectors","271, 345",2
785,"linear independence, vector spaces",345,2
786,linear inequalities,17,1
787,"linear operator, B-matrix",513,2
788,"linear operator, change matrix",513,2
789,"linear operator, choice of basis",518,2
790,"linear operator, deﬁned","250, 375, 512",2
791,"linear operator, diagonalizable",557,2
792,"linear operator, distance preserving",251,2
793,"linear operator, distance preserving isometries",564,2
794,"linear operator, eigenvalues",526,2
795,"linear operator, eigenvector",526,2
796,"linear operator, idempotents",534,2
797,"linear operator, involutions",531,2
798,"linear operator, isometries","251, 565",2
799,"linear operator, on ﬁnite dimensional inner product space",557,2
800,"linear operator, projection","251, 421, 564",2
801,"linear operator, properties of matrices",516,2
802,"linear operator, reducible",531,2
803,"linear operator, reﬂections",251,2
804,"linear operator, restriction",524,2
805,"linear operator, rotations",254,2
806,"linear operator, standard matrix",513,2
807,"linear operator, symmetric",559,2
808,"linear operator, transformations of areas and volumes",255,2
809,linear programming,500,1
810,,"670, 193, 406",1
811,"linear recurrences, diagonalization",194,2
812,"linear recurrences, length","193, 406",2
813,"linear recurrences, linear transformations",405,2
814,"linear recurrences, polynomials associated with the linear recurrence",408,2
815,"linear recurrences, shift operator",410,2
816,"linear recurrences, vector spaces",405,2
817,linear system of differential equations,199,1
818,"linear transformations, m× n matrix",503,2
819,"linear transformations, action of a transformation",503,2
820,"linear transformations, as category",397,2
821,"linear transformations, as matrix transformation",503,2
822,"linear transformations, association with matrix",503,2
823,"linear transformations, composite","65, 108, 396",2
824,"linear transformations, composition","396, 507",2
825,"linear transformations, coordinate transformation",504,2
826,"linear transformations, deﬁned","59, 104, 375, 379",2
827,"linear transformations, described","35, 104",2
828,"linear transformations, differentiation",377,2
829,"linear transformations, dimension theorem",386,2
830,"linear transformations, distance preserving",251,2
831,"linear transformations, equal","59, 378",2
832,"linear transformations, evaluation","376, 410",2
833,"linear transformations, examples",375,2
834,"linear transformations, fundamental identities",398,2
835,"linear transformations, hit",384,2
836,"linear transformations, identity operator",376,2
837,"linear transformations, image","59, 382",2
838,"linear transformations, in computer graphics",258,2
839,"linear transformations, integration",377,2
840,"linear transformations, inverses","90, 398",2
841,"linear transformations, isomorphism",392,2
842,"linear transformations, kernel",382,2
843,"linear transformations, linear recurrences",405,2
844,B and D,505,1
845,matrix of a linear transformation,"376, 503",1
